timestamp_s,dispatch_mw
0,-1.4
1,-1.3564
2,-1.3127
3,-1.2691
4,-1.2255
5,-1.1818
6,-1.1382
7,-1.0946
8,-1.0509
9,-1.0073
10,-0.9637
11,-0.9201
12,-0.8764
13,-0.8328
14,-0.7892
15,-0.7456
16,-0.702
17,-0.6583
18,-0.6147
19,-0.5711
20,-0.5275
21,-0.4839
22,-0.4403
23,-0.3967
24,-0.3531
25,-0.3095
26,-0.2659
27,-0.2223
28,-0.1788
29,-0.1352
30,-0.0916
31,-0.048
32,-0.0045
33,0.0391
34,0.0827
35,0.1262
36,0.1698
37,0.2133
38,0.2568
39,0.3004
40,0.3439
41,0.3874
42,0.431
43,0.4745
44,0.518
45,0.5615
46,0.605
47,0.6485
48,0.6919
49,0.7354
50,0.7789
51,0.8224
52,0.8658
53,0.9093
54,0.9527
55,0.9961
56,1.0396
57,1.083
58,1.1264
59,1.1698
60,1.2132
61,1.2566
62,1.3
63,1.3434
64,1.3867
65,1.4301
66,1.4734
67,1.5168
68,1.5601
69,1.6034
70,1.6467
71,1.69
72,1.7333
73,1.7766
74,1.8199
75,1.8632
76,1.9064
77,1.9497
78,1.9929
79,2.0361
80,2.0793
81,2.1225
82,2.1657
83,2.2089
84,2.2521
85,2.2952
86,2.3384
87,2.3815
88,2.4246
89,2.4678
90,2.5109
91,2.554
92,2.597
93,2.6401
94,2.6831
95,2.7262
96,2.7692
97,2.8122
98,2.8552
99,2.8982
100,2.9412
101,2.9842
102,3.0271
103,3.0701
104,3.113
105,3.1559
106,3.1988
107,3.2417
108,3.2845
109,3.3274
110,3.3702
111,3.413
112,3.4559
113,3.4987
114,3.5414
115,3.5842
116,3.6269
117,3.6697
118,3.7124
119,3.7551
120,3.7978
121,3.8405
122,3.8831
123,3.9258
124,3.9684
125,4.011
126,4.0536
127,4.0962
128,4.1387
129,4.1813
130,4.2238
131,4.2663
132,4.3088
133,4.3512
134,4.3937
135,4.4361
136,4.4786
137,4.521
138,4.5633
139,4.6057
140,4.648
141,4.6904
142,4.7327
143,4.775
144,4.8172
145,4.8595
146,4.9017
147,4.9439
148,4.9861
149,5.0283
150,5.0705
151,5.1126
152,5.1547
153,5.1968
154,5.2389
155,5.281
156,5.323
157,5.365
158,5.407
159,5.449
160,5.4909
161,5.5329
162,5.5748
163,5.6167
164,5.6585
165,5.7004
166,5.7422
167,5.784
168,5.8258
169,5.8676
170,5.9093
171,5.951
172,5.9927
173,6.0344
174,6.076
175,6.1176
176,6.1592
177,6.2008
178,6.2424
179,6.2839
180,6.3254
181,6.3669
182,6.4084
183,6.4498
184,6.4912
185,6.5326
186,6.574
187,6.6153
188,6.6566
189,6.6979
190,6.7392
191,6.7804
192,6.8217
193,6.8629
194,6.904
195,6.9452
196,6.9863
197,7.0274
198,7.0684
199,7.1095
200,7.1505
201,7.1915
202,7.2325
203,7.2734
204,7.3143
205,7.3552
206,7.396
207,7.4369
208,7.4777
209,7.5184
210,7.5592
211,7.5999
212,7.6406
213,7.6813
214,7.7219
215,7.7625
216,7.8031
217,7.8437
218,7.8842
219,7.9247
220,7.9652
221,8.0056
222,8.046
223,8.0864
224,8.1268
225,8.1671
226,8.2074
227,8.2477
228,8.2879
229,8.3281
230,8.3683
231,8.4084
232,8.4485
233,8.4886
234,8.5287
235,8.5687
236,8.6087
237,8.6487
238,8.6886
239,8.7285
240,8.7684
241,8.8083
242,8.8481
243,8.8879
244,8.9276
245,8.9673
246,9.007
247,9.0467
248,9.0863
249,9.1259
250,9.1655
251,9.205
252,9.2445
253,9.2839
254,9.3234
255,9.3628
256,9.4021
257,9.4415
258,9.4808
259,9.52
260,9.5593
261,9.5985
262,9.6376
263,9.6768
264,9.7159
265,9.7549
266,9.794
267,9.833
268,9.8719
269,9.9109
270,9.9498
271,9.9886
272,10.0274
273,10.0662
274,10.105
275,10.1437
276,10.1824
277,10.2211
278,10.2597
279,10.2982
280,10.3368
281,10.3753
282,10.4138
283,10.4522
284,10.4906
285,10.529
286,10.5673
287,10.6056
288,10.6438
289,10.6821
290,10.7202
291,10.7584
292,10.7965
293,10.8346
294,10.8726
295,10.9106
296,10.9485
297,10.9865
298,11.0243
299,11.0622
300,11.1
301,11.1378
302,11.1755
303,11.2132
304,11.2508
305,11.2885
306,11.326
307,11.3636
308,11.4011
309,11.4385
310,11.476
311,11.5133
312,11.5507
313,11.588
314,11.6252
315,11.6625
316,11.6996
317,11.7368
318,11.7739
319,11.811
320,11.848
321,11.885
322,11.9219
323,11.9588
324,11.9957
325,12.0325
326,12.0693
327,12.106
328,12.1427
329,12.1794
330,12.216
331,12.2525
332,12.2891
333,12.3256
334,12.362
335,12.3984
336,12.4348
337,12.4711
338,12.5074
339,12.5436
340,12.5798
341,12.616
342,12.6521
343,12.6882
344,12.7242
345,12.7602
346,12.7961
347,12.832
348,12.8678
349,12.9036
350,12.9394
351,12.9751
352,13.0108
353,13.0464
354,13.082
355,13.1176
356,13.1531
357,13.1885
358,13.2239
359,13.2593
360,13.2946
361,13.3299
362,13.3651
363,13.4003
364,13.4355
365,13.4706
366,13.5056
367,13.5406
368,13.5756
369,13.6105
370,13.6454
371,13.6802
372,13.715
373,13.7497
374,13.7844
375,13.819
376,13.8536
377,13.8882
378,13.9227
379,13.9571
380,13.9915
381,14.0259
382,14.0602
383,14.0945
384,14.1287
385,14.1629
386,14.197
387,14.2311
388,14.2651
389,14.2991
390,14.333
391,14.3669
392,14.4007
393,14.4345
394,14.4683
395,14.502
396,14.5356
397,14.5692
398,14.6027
399,14.6362
400,14.6697
401,14.7031
402,14.7364
403,14.7697
404,14.803
405,14.8362
406,14.8694
407,14.9025
408,14.9355
409,14.9685
410,15.0015
411,15.0344
412,15.0672
413,15.1
414,15.1328
415,15.1655
416,15.1982
417,15.2308
418,15.2633
419,15.2958
420,15.3283
421,15.3607
422,15.393
423,15.4253
424,15.4576
425,15.4898
426,15.5219
427,15.554
428,15.586
429,15.618
430,15.65
431,15.6818
432,15.7137
433,15.7455
434,15.7772
435,15.8089
436,15.8405
437,15.8721
438,15.9036
439,15.935
440,15.9665
441,15.9978
442,16.0291
443,16.0604
444,16.0916
445,16.1227
446,16.1538
447,16.1849
448,16.2159
449,16.2468
450,16.2777
451,16.3085
452,16.3393
453,16.37
454,16.4007
455,16.4313
456,16.4618
457,16.4923
458,16.5228
459,16.5532
460,16.5835
461,16.6138
462,16.644
463,16.6742
464,16.7043
465,16.7344
466,16.7644
467,16.7943
468,16.8242
469,16.8541
470,16.8838
471,16.9136
472,16.9432
473,16.9729
474,17.0024
475,17.0319
476,17.0614
477,17.0908
478,17.1201
479,17.1494
480,17.1786
481,17.2078
482,17.2369
483,17.266
484,17.295
485,17.3239
486,17.3528
487,17.3816
488,17.4104
489,17.4391
490,17.4677
491,17.4963
492,17.5249
493,17.5534
494,17.5818
495,17.6101
496,17.6385
497,17.6667
498,17.6949
499,17.723
500,17.7511
501,17.7791
502,17.8071
503,17.835
504,17.8628
505,17.8906
506,17.9183
507,17.946
508,17.9736
509,18.0012
510,18.0286
511,18.0561
512,18.0834
513,18.1108
514,18.138
515,18.1652
516,18.1923
517,18.2194
518,18.2464
519,18.2734
520,18.3003
521,18.3271
522,18.3539
523,18.3806
524,18.4072
525,18.4338
526,18.4604
527,18.4868
528,18.5132
529,18.5396
530,18.5659
531,18.5921
532,18.6183
533,18.6444
534,18.6704
535,18.6964
536,18.7223
537,18.7482
538,18.774
539,18.7997
540,18.8254
541,18.851
542,18.8766
543,18.9021
544,18.9275
545,18.9529
546,18.9782
547,19.0034
548,19.0286
549,19.0537
550,19.0788
551,19.1038
552,19.1287
553,19.1536
554,19.1784
555,19.2032
556,19.2278
557,19.2525
558,19.277
559,19.3015
560,19.3259
561,19.3503
562,19.3746
563,19.3989
564,19.423
565,19.4471
566,19.4712
567,19.4952
568,19.5191
569,19.543
570,19.5668
571,19.5905
572,19.6142
573,19.6378
574,19.6613
575,19.6848
576,19.7082
577,19.7315
578,19.7548
579,19.778
580,19.8012
581,19.8243
582,19.8473
583,19.8703
584,19.8932
585,19.916
586,19.9388
587,19.9615
588,19.9841
589,20.0067
590,20.0292
591,20.0516
592,20.074
593,20.0963
594,20.1186
595,20.1407
596,20.1628
597,20.1849
598,20.2069
599,20.2288
600,20.2506
601,20.2724
602,20.2941
603,20.3158
604,20.3374
605,20.3589
606,20.3803
607,20.4017
608,20.4231
609,20.4443
610,20.4655
611,20.4866
612,20.5077
613,20.5287
614,20.5496
615,20.5704
616,20.5912
617,20.6119
618,20.6326
619,20.6532
620,20.6737
621,20.6941
622,20.7145
623,20.7348
624,20.7551
625,20.7753
626,20.7954
627,20.8154
628,20.8354
629,20.8553
630,20.8752
631,20.8949
632,20.9146
633,20.9343
634,20.9539
635,20.9734
636,20.9928
637,21.0122
638,21.0315
639,21.0507
640,21.0699
641,21.0889
642,21.108
643,21.1269
644,21.1458
645,21.1646
646,21.1834
647,21.2021
648,21.2207
649,21.2392
650,21.2577
651,21.2761
652,21.2944
653,21.3127
654,21.3309
655,21.349
656,21.3671
657,21.3851
658,21.403
659,21.4209
660,21.4386
661,21.4563
662,21.474
663,21.4916
664,21.5091
665,21.5265
666,21.5439
667,21.5612
668,21.5784
669,21.5955
670,21.6126
671,21.6296
672,21.6466
673,21.6635
674,21.6803
675,21.697
676,21.7137
677,21.7302
678,21.7468
679,21.7632
680,21.7796
681,21.7959
682,21.8121
683,21.8283
684,21.8444
685,21.8604
686,21.8764
687,21.8923
688,21.9081
689,21.9238
690,21.9395
691,21.9551
692,21.9706
693,21.9861
694,22.0015
695,22.0168
696,22.032
697,22.0472
698,22.0623
699,22.0774
700,22.0923
701,22.1072
702,22.122
703,22.1368
704,22.1514
705,22.166
706,22.1806
707,22.195
708,22.2094
709,22.2237
710,22.238
711,22.2521
712,22.2662
713,22.2803
714,22.2942
715,22.3081
716,22.3219
717,22.3356
718,22.3493
719,22.3629
720,22.3764
721,22.3899
722,22.4032
723,22.4165
724,22.4298
725,22.4429
726,22.456
727,22.469
728,22.482
729,22.4948
730,22.5076
731,22.5203
732,22.533
733,22.5456
734,22.5581
735,22.5705
736,22.5828
737,22.5951
738,22.6073
739,22.6195
740,22.6315
741,22.6435
742,22.6554
743,22.6673
744,22.6791
745,22.6908
746,22.7024
747,22.7139
748,22.7254
749,22.7368
750,22.7481
751,22.7594
752,22.7706
753,22.7817
754,22.7927
755,22.8037
756,22.8146
757,22.8254
758,22.8361
759,22.8468
760,22.8574
761,22.8679
762,22.8784
763,22.8887
764,22.899
765,22.9092
766,22.9194
767,22.9295
768,22.9395
769,22.9494
770,22.9593
771,22.969
772,22.9787
773,22.9884
774,22.9979
775,23.0074
776,23.0168
777,23.0261
778,23.0354
779,23.0446
780,23.0537
781,23.0627
782,23.0717
783,23.0806
784,23.0894
785,23.0981
786,23.1068
787,23.1154
788,23.1239
789,23.1323
790,23.1407
791,23.149
792,23.1572
793,23.1653
794,23.1734
795,23.1814
796,23.1893
797,23.1971
798,23.2049
799,23.2126
800,23.2202
801,23.2277
802,23.2352
803,23.2426
804,23.2499
805,23.2571
806,23.2643
807,23.2714
808,23.2784
809,23.2853
810,23.2922
811,23.299
812,23.3057
813,23.3123
814,23.3189
815,23.3254
816,23.3318
817,23.3381
818,23.3444
819,23.3506
820,23.3567
821,23.3627
822,23.3687
823,23.3746
824,23.3804
825,23.3861
826,23.3918
827,23.3974
828,23.4029
829,23.4083
830,23.4137
831,23.4189
832,23.4241
833,23.4293
834,23.4343
835,23.4393
836,23.4442
837,23.449
838,23.4538
839,23.4584
840,23.463
841,23.4676
842,23.472
843,23.4764
844,23.4807
845,23.4849
846,23.489
847,23.4931
848,23.4971
849,23.501
850,23.5049
851,23.5086
852,23.5123
853,23.5159
854,23.5195
855,23.5229
856,23.5263
857,23.5296
858,23.5329
859,23.536
860,23.5391
861,23.5421
862,23.545
863,23.5479
864,23.5507
865,23.5534
866,23.556
867,23.5585
868,23.561
869,23.5634
870,23.5657
871,23.568
872,23.5702
873,23.5722
874,23.5743
875,23.5762
876,23.5781
877,23.5799
878,23.5816
879,23.5832
880,23.5848
881,23.5863
882,23.5877
883,23.589
884,23.5903
885,23.5914
886,23.5925
887,23.5936
888,23.5945
889,23.5954
